SGAN;Presentación;Peso Neto (kg);Tipo;Categoría;Regional;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;Marzo;Abril;Mayo;Junio;Target Market;Tipo ABC;Marzo;Abril;Mayo;Junio
S792;KG;1;FERT;YBLK;MEDELLÍN;685.500;724.500;475.500;274.500;443.400;487.500;515.150;515.150;515.150;515.150;CONCRETE.;A;390.000;630.000;630.000;530.182
S792;KG;1;FERT;YBLK;CALI;0;0;30.000;0;0;30.000;10.000;10.000;10.000;10.000;CONCRETE.;A;10.107;12.034;11.184;13.204
S792;KG;1;FERT;YBLK;PEREIRA;39.000;0;9.000;0;9.000;0;9.500;9.500;9.500;9.500;CONCRETE.;A;10.500;10.500;10.500;9.232
S792;KG;1;FERT;YBLK;ORIENTE;0;0;30.000;30.000;0;12.600;14.200;14.200;14.200;14.200;CONCRETE.;A;15.000;15.000;15.000;13.784
S792;KG;1;FERT;YBLK;BARRANQUILLA;0;3.000;0;0;0;0;500;500;500;500;CONCRETE.;A;0;0;0;214
S477;KG;1;FERT;YBLK;MEDELLÍN;255.000;310.500;203.400;222.000;133.026;237.300;226.871;226.871;226.871;226.871;CONCRETE.;A;210.000;120.000;45.000;193.820
S477;KG;1;FERT;YBLK;CALI;142.500;153.900;127.500;132.900;119.700;186.900;146.500;146.500;146.500;146.500;CONCRETE.;A;144.000;144.000;144.000;90.535
S477;KG;1;FERT;YBLK;PEREIRA;44.700;70.800;56.700;51.600;49.500;53.100;54.400;54.400;54.400;54.400;CONCRETE.;A;54.000;54.000;54.000;40.810
S276;KG;1;FERT;YBLK;BOGOTÁ;173.700;178.500;184.200;121.200;116.100;172.740;157.740;157.740;157.740;157.740;CONCRETE.;A;180.000;180.000;180.000;155.420
S276;KG;1;FERT;YBLK;CALI;135.843;140.100;123.600;133.800;113.400;183.960;143.720;143.720;143.720;143.720;CONCRETE.;A;135.000;135.000;135.000;119.980
S276;KG;1;FERT;YBLK;SANTANDER;90.570;45.600;84.600;52.500;56.400;53.700;63.895;63.895;63.895;63.895;CONCRETE.;A;75.000;75.000;75.000;74.836
S276;KG;1;FERT;YBLK;PEREIRA;42.300;56.700;34.200;39.300;28.500;57.300;43.050;43.050;43.050;43.050;CONCRETE.;A;39.000;39.000;39.000;43.111
S276;KG;1;FERT;YBLK;ORIENTE;30.000;18.000;30.000;21.000;22.500;24.000;24.250;24.250;24.250;24.250;CONCRETE.;A;30.000;30.000;30.000;26.391
S276;KG;1;FERT;YBLK;BARRANQUILLA;0;0;0;0;0;0;0;0;0;0;CONCRETE.;A;0;0;0;888
S2931;KG;1;FERT;YBLK;BARRANQUILLA;350.850;401.523;381.030;394.590;350.040;330.120;368.026;368.026;368.026;368.026;CONCRETE.;A;330.508;321.287;320.553;320.309
S3624;KG;1;FERT;YBLK;ORIENTE;378.000;351.000;351.000;378.000;237.000;321.000;336.000;336.000;336.000;336.000;CONCRETE.;A;363.000;363.000;363.000;309.029
S3019;KG;1;FERT;YBLK;BOGOTÁ;302.400;324.600;282.300;204.000;252.600;272.100;273.000;273.000;273.000;273.000;CONCRETE.;A;240.000;240.000;240.000;269.900
S3019;KG;1;FERT;YBLK;ORIENTE;40.500;18.000;31.500;30.900;25.500;27.000;28.900;28.900;28.900;28.900;CONCRETE.;A;30.000;30.000;30.000;29.200
S846;KG;1;FERT;YBLK;MEDELLÍN;137.400;79.800;70.500;117.000;129.000;154.500;133.500;133.500;133.500;133.500;CONCRETE.;A;92.622;94.785;95.070;103.576
S846;KG;1;FERT;YBLK;SANTANDER;92.100;51.900;101.700;84.600;84.900;24.900;73.350;73.350;73.350;73.350;CONCRETE.;A;72.796;67.429;67.632;73.683
S846;KG;1;FERT;YBLK;BARRANQUILLA;58.560;32.703;14.550;12.000;36.000;7.500;26.886;26.886;26.886;26.886;CONCRETE.;A;26.539;26.574;26.654;29.039
S846;KG;1;FERT;YBLK;CALI;18.630;24.000;15.000;35.181;49.218;45.000;43.133;43.133;43.133;43.133;CONCRETE.;A;21.945;23.165;23.235;25.313
S846;KG;1;FERT;YBLK;PEREIRA;15.000;42.000;33.000;36.000;21.000;15.000;27.000;27.000;27.000;27.000;CONCRETE.;A;15.000;21.000;21.000;21.000
S846;KG;1;FERT;YBLK;BOGOTÁ;6.000;0;21.000;0;0;6.000;5.500;5.500;5.500;5.500;CONCRETE.;A;3.985;4.198;4.211;4.588
S846;KG;1;FERT;YBLK;ORIENTE;3.060;-10.380;14.430;3.300;0;12.000;5.100;5.100;5.100;5.100;CONCRETE.;A;3.120;3.957;3.969;4.324
