Local_Target_Market_Name_CO;Application_Field_Name;SubApplication_Field_Name;Product_Hierarchy;Agua
Building Finishing;Interior walls;Interior crack and j;021840303000000026;No
Building Finishing;Interior walls;Interior crack and j;021840303000000015;No
Building Finishing;Interior walls;Interior crack and j;021840301000000003;No
Building Finishing;Interior walls;Interior crack and j;021840301000000004;No
Building Finishing;Interior walls;Interior wall levell;021840102000000009;No
Building Finishing;Interior walls;Interior wall levell;021840102000000019;No
Building Finishing;Interior walls;Interior wall levell;021840102000000012;No
Building Finishing;Interior walls;Interior wall levell;021840102000000014;No
Building Finishing;Interior walls;Interior wall levell;021840102000000021;No
Building Finishing;Interior walls;Interior wall levell;021840102000000027;No
Building Finishing;Interior walls;Interior wall levell;021840102000000057;No
Building Finishing;Mineral levelling an;Mineral base coats;021820101000000053;No
Building Finishing;Mineral levelling an;Mineral skim coats;021820201000000106;No
Building Finishing;Organic finishes (ae;Decorative paints/pl;021815200000000029;No
Building Finishing;Organic finishes (ae;Decorative paints/pl;021815200000000024;No
Building Finishing;Organic finishes (ae;Decorative paints/pl;021815200000000025;No
Building Finishing;Organic finishes (ae;Decorative paints/pl;021815200000000027;Si
Building Finishing;Organic finishes (ae;Decorative paints/pl;021815200000000026;Si
Building Finishing;Organic finishes (ae;Decorative paints/pl;021815200000000099;Si
Building Finishing;Organic levelling mo;Organic skim coats;021825201000000007;No
Building Finishing;Organic levelling mo;Organic skim coats;021825201000000015;Si
Building Finishing;Protect, clean, prim;Facade cleaning;021890150000000006;Si
Building Finishing;Protect, clean, prim;Facade cleaning;021890150000000003;Si
Building Finishing;Protect, clean, prim;Facade protection se;021890100000000058;No
Building Finishing;Protect, clean, prim;Facade protection se;021890100000000037;Si
Building Finishing;Protect, clean, prim;Facade protection se;021890100000000030;Si
Building Finishing;Protect, clean, prim;Facade protection se;021890100000000050;Si
Building Finishing;Protect, clean, prim;Facade protection se;021890100000000031;Si
Building Finishing;Protect, clean, prim;Facade protection se;021890100000000051;Si
Building Finishing;Protect, clean, prim;Facade protection se;021890100000000012;Si
Building Finishing;Protect, clean, prim;Weather (air/water);021890300000000009;Si
Building Finishing;Renovation, masonry;Masonry mortars;021850101000000024;No
Building Finishing;Thermal insulation s;Base coats and adhes;021830101000000037;No
Building Finishing;Thermal insulation s;Decorative finishes;021830400100000037;Si
Building Finishing;Thermal insulation s;Decorative finishes;021830400100000038;Si
Building Finishing;Thermal insulation s;Decorative finishes;021830400100000039;Si
Building Finishing;Thermal insulation s;Decorative finishes;021830400100000090;Si
Building Finishing;Thermal insulation s;Decorative finishes;021830400100000089;Si
Building Finishing;Thermal insulation s;Thermal insulation/f;021830901000000001;No
Building Finishing;Thermal insulation s;Thermal insulation/f;021830901000000032;No
Building Finishing;Tile adhesives;Cementitious tile ad;021710101000000019;No
Building Finishing;Tile adhesives;Cementitious tile ad;021710102000000600;No
Building Finishing;Tile adhesives;Cementitious tile ad;021710102000000063;No
Building Finishing;Tile adhesives;Cementitious tile ad;021710102000000127;No
Building Finishing;Tile adhesives;Cementitious tile ad;021710102000000049;No
Building Finishing;Tile adhesives;Cementitious tile ad;021710102000000390;No
Building Finishing;Tile adhesives;Cementitious tile ad;021710102000000622;No
Building Finishing;Tile adhesives;Cementitious tile ad;021710102000000593;No
Building Finishing;Tile adhesives;Cementitious tile ad;021710102000000592;No
Building Finishing;Tile grouts;Cementitious tile gr;021720100000000032;No
Building Finishing;Tile grouts;Cementitious tile gr;021720100000000033;No
Building Finishing;Tile grouts;Cementitious tile gr;021720100000000013;No
Building Finishing;Tile grouts;Cementitious tile gr;021720100000000096;No
Building Finishing;Tile grouts;Reactive resin tile;021720301000000004;No
Building Finishing;Tile setting complem;Tile setting accesso;021790801000000001;No
Building Finishing;Tile setting complem;Tile setting accesso;021790801000000010;No
Building Finishing;Tile setting complem;Tile setting accesso;021790808000000005;No
Building Finishing;Tile setting complem;Tile setting accesso;021790808000000004;No
Building Finishing;Tile setting complem;Waterproofing under;021790202000000011;No
Concrete;Cement additives;Grinding aids;021407011000000344;No
Concrete;Cement additives;Grinding aids;021407011000000006;No
Concrete;Cement additives;Grinding aids;021407011000000419;No
Concrete;Cement additives;Grinding aids;021407011000000473;No
Concrete;Cement additives;Grinding aids;021407011000000383;No
Concrete;Cement additives;Grinding aids;021407011000000436;No
Concrete;Cement additives;Grinding aids;021407011000000160;No
Concrete;Cement additives;Grinding aids;021407011000000450;No
Concrete;Cement additives;Grinding aids;021407011000000492;No
Concrete;Cement additives;Grinding aids;021407011000000451;No
Concrete;Cement additives;Masonry;021407031000000034;No
Concrete;Cement additives;Quality enhancers;021407021000000653;No
Concrete;Cement additives;Quality enhancers;021407021000000635;No
Concrete;Cement additives;Quality enhancers;021407021000000636;No
Concrete;Cement additives;Quality enhancers;021407021000000692;No
Concrete;Concrete accelerator;Concrete Accelerator;021402021000000120;No
Concrete;Concrete accelerator;Concrete Accelerator;021402021000000095;No
Concrete;Concrete accelerator;Concrete Accelerator;021402021000000027;No
