SGAN;Presentación;Peso Neto (kg);Tipo;Categoría;Regional;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;Septiembre;Octubre;Noviembre;Diciembre;Target Market;Tipo ABC;Septiembre;Octubre;Noviembre;Diciembre
S792;KG;1;FERT;YBLK;MEDELLÍN;784.605;779.505;712.890;715.500;627.300;697.500;719.550;719.550;719.550;719.550;CONCRETE.;A;750.000;750.000;782.058;647.302
S792;KG;1;FERT;YBLK;CALI;0;30.000;30.000;34.500;0;30.000;21.500;21.500;21.500;21.500;CONCRETE.;A;30.000;30.000;15.236;12.610
S792;KG;1;FERT;YBLK;ORIENTE;0;0;0;60.000;60.000;0;40.000;40.000;40.000;40.000;CONCRETE.;A;10.729;10.378;9.909;8.202
S792;KG;1;FERT;YBLK;PEREIRA;9.000;15.000;9.000;0;9.000;30.000;13.000;13.000;13.000;13.000;CONCRETE.;A;9.000;9.000;12.362;10.232
S477;KG;1;FERT;YBLK;MEDELLÍN;338.700;324.600;348.600;291.600;278.100;316.500;316.350;316.350;316.350;316.350;CONCRETE.;A;345.000;345.000;276.012;276.164
S477;KG;1;FERT;YBLK;CALI;142.500;64.500;114.900;102.000;113.370;121.800;112.390;112.390;112.390;112.390;CONCRETE.;A;135.000;135.000;143.824;143.903
S477;KG;1;FERT;YBLK;PEREIRA;69.810;55.800;67.200;64.470;51.900;50.700;59.980;59.980;59.980;59.980;CONCRETE.;A;75.000;75.000;59.089;59.122
S276;KG;1;FERT;YBLK;BOGOTÁ;140.400;93.000;129.000;122.100;180.900;172.800;158.600;158.600;158.600;158.600;CONCRETE.;A;135.000;135.000;136.354;118.748
S276;KG;1;FERT;YBLK;CALI;124.950;49.800;99.600;76.800;104.640;91.200;91.165;91.165;91.165;91.165;CONCRETE.;A;105.000;105.000;119.439;104.017
S276;KG;1;FERT;YBLK;SANTANDER;127.650;51.900;107.850;48.390;89.850;50.310;79.325;79.325;79.325;79.325;CONCRETE.;A;105.000;105.000;86.730;75.531
S276;KG;1;FERT;YBLK;PEREIRA;51.000;45.030;35.550;41.550;36.300;27.300;39.455;39.455;39.455;39.455;CONCRETE.;A;46.500;46.500;51.505;44.854
S276;KG;1;FERT;YBLK;ORIENTE;13.500;34.500;25.500;21.000;33.000;30.045;28.015;28.015;28.015;28.015;CONCRETE.;A;24.000;24.000;26.155;22.778
S276;KG;1;FERT;YBLK;BARRANQUILLA;5.100;-5.100;0;1.500;3.600;0;1.700;1.700;1.700;1.700;CONCRETE.;A;0;0;3.067;2.671
S2931;KG;1;FERT;YBLK;BARRANQUILLA;429.960;393.540;350.040;292.140;376.200;318.870;360.125;360.125;360.125;360.125;CONCRETE.;A;532.491;286.862;283.219;281.765
S3624;KG;1;FERT;YBLK;ORIENTE;375.000;285.000;378.000;321.000;294.000;324.000;329.500;329.500;329.500;329.500;CONCRETE.;A;375.000;375.000;331.111;337.323
S846;KG;1;FERT;YBLK;MEDELLÍN;65.100;136.680;105.000;114.240;178.800;78.000;123.680;123.680;123.680;123.680;CONCRETE.;A;105.000;105.000;116.049;96.753
S846;KG;1;FERT;YBLK;SANTANDER;100.800;93.000;118.800;61.800;94.800;62.472;88.612;88.612;88.612;88.612;CONCRETE.;A;105.000;105.000;100.675;83.935
S846;KG;1;FERT;YBLK;PEREIRA;51.750;30.000;25.800;54.300;22.500;36.300;37.700;37.700;37.700;37.700;CONCRETE.;A;25.500;25.500;37.962;31.650
S846;KG;1;FERT;YBLK;BARRANQUILLA;39.360;39.000;49.500;38.340;23.073;32.400;36.946;36.946;36.946;36.946;CONCRETE.;A;45.000;45.000;28.803;24.014
S846;KG;1;FERT;YBLK;CALI;21.000;26.550;23.550;29.220;33.000;13.500;25.240;25.240;25.240;25.240;CONCRETE.;A;25.500;25.500;26.813;22.355
S846;KG;1;FERT;YBLK;ORIENTE;3.000;3.000;60;0;15.060;3.120;6.060;6.060;6.060;6.060;CONCRETE.;A;0;0;3.881;3.236
S846;KG;1;FERT;YBLK;BOGOTÁ;3.000;0;0;12.510;12.000;0;8.170;8.170;8.170;8.170;CONCRETE.;A;0;0;2.617;2.182
S3019;KG;1;FERT;YBLK;BOGOTÁ;198.300;169.200;264.300;245.400;260.100;269.400;258.300;258.300;258.300;258.300;CONCRETE.;A;264.000;264.000;287.296;287.296
S3019;KG;1;FERT;YBLK;ORIENTE;13.500;36.000;12.000;21.000;27.000;46.500;31.500;31.500;31.500;31.500;CONCRETE.;A;30.000;15.000;28.604;28.604
S791;KG;1;FERT;YBLK;ORIENTE;177.000;30.000;166.500;72.000;48.000;0;82.250;82.250;82.250;82.250;CONCRETE.;A;150.000;150.000;120.296;109.600
S791;KG;1;FERT;YBLK;MEDELLÍN;79.680;85.560;64.170;42.780;108.000;105.000;85.260;85.260;85.260;85.260;CONCRETE.;A;75.000;75.000;76.066;69.303
S791;KG;1;FERT;YBLK;SANTANDER;10.500;30.000;93.000;36.000;15.000;57.000;40.250;40.250;40.250;40.250;CONCRETE.;A;45.000;45.000;23.023;20.976
S3606;KG;1;FERT;YBLK;BARRANQUILLA;244.320;246.750;240.690;219.000;243.000;214.710;234.745;234.745;234.745;234.745;CONCRETE.;A;234.228;228.373;228.373;228.373
S681;KG;1;FERT;YBLK;MEDELLÍN;95.400;101.100;74.400;77.700;54.900;63.600;77.850;77.850;77.850;77.850;CONCRETE.;A;75.000;75.000;62.962;56.886
S681;KG;1;FERT;YBLK;BOGOTÁ;41.070;30.000;0;0;6.000;-20.040;9.505;9.505;9.505;9.505;CONCRETE.;A;6.000;6.000;32.078;28.983
S681;KG;1;FERT;YBLK;ORIENTE;36.300;33.600;34.500;14.100;7.500;-6.900;19.850;19.850;19.850;19.850;CONCRETE.;A;33.000;33.000;16.067;14.517
S681;KG;1;FERT;YBLK;BARRANQUILLA;16.500;24.000;26.850;25.872;17.220;39.510;27.534;27.534;27.534;27.534;CONCRETE.;A;24.000;24.000;9.844;8.894
S681;KG;1;FERT;YBLK;PEREIRA;10.500;6.000;10.500;34.500;25.500;12.000;24.000;24.000;24.000;24.000;CONCRETE.;A;10.500;10.500;8.588;7.759
S681;KG;1;FERT;YBLK;SANTANDER;9.000;6.270;12.000;3.000;10.500;0;6.795;6.795;6.795;6.795;CONCRETE.;A;10.500;10.500;5.480;4.952
S681;KG;1;FERT;YBLK;CALI;7.500;9.540;6.000;6.540;11.430;0;6.835;6.835;6.835;6.835;CONCRETE.;A;6.000;6.000;5.101;4.609
S2088;KG;1;FERT;YBLK;MEDELLÍN;171.300;162.000;197.400;145.800;165.600;127.500;161.600;161.600;161.600;161.600;CONCRETE.;A;195.000;195.000;130.741;151.333
S2088;KG;1;FERT;YBLK;PEREIRA;7.800;10.500;7.200;12.600;9.000;7.200;9.600;9.600;9.600;9.600;CONCRETE.;A;9.476;9.121;7.407;8.573
S3604;KG;1;FERT;YBLK;BARRANQUILLA;204.090;144.570;179.700;163.500;182.880;189.690;178.690;178.690;178.690;178.690;CONCRETE.;A;180.000;180.000;189.690;189.690
S3661;KG;1;FERT;YBLK;BARRANQUILLA;159.000;124.440;147.240;120.000;114.000;153.690;136.395;136.395;136.395;136.395;CONCRETE.;A;127.326;135.238;135.238;135.238
S1226;KG;1;FERT;YBLK;BOGOTÁ;138.960;95.175;30.987;63.000;69.600;22.500;70.037;70.037;70.037;70.037;CONCRETE.;A;45.000;45.000;26.014;26.014
S1226;KG;1;FERT;YBLK;CALI;19.200;21.900;26.700;5.700;17.700;10.500;16.950;16.950;16.950;16.950;CONCRETE.;A;27.000;27.000;2.638;2.638
S1226;KG;1;FERT;YBLK;ORIENTE;6.000;10.500;24.000;19.500;8.115;15;11.355;11.355;11.355;11.355;CONCRETE.;A;12.000;12.000;3.758;3.758
